Transaction ID,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Year,Month
84,CUST084,Female,38,Electronics,3,30,90,2023,November
85,CUST085,Male,31,Clothing,3,50,150,2023,February
86,CUST086,Male,19,Beauty,3,30,90,2023,November
87,CUST087,Female,28,Beauty,2,50,100,2023,November
88,CUST088,Male,56,Clothing,1,500,500,2023,March
89,CUST089,Female,55,Electronics,4,500,2000,2023,October
90,CUST090,Female,51,Electronics,1,30,30,2023,May
91,CUST091,Female,55,Electronics,1,500,500,2023,March
92,CUST092,Female,51,Electronics,4,30,120,2023,August
93,CUST093,Female,35,Beauty,4,500,2000,2023,July
94,CUST094,Female,47,Beauty,2,500,1000,2023,May
95,CUST095,Female,32,Clothing,2,30,60,2023,November
96,CUST096,Female,44,Clothing,2,300,600,2023,December
97,CUST097,Female,51,Beauty,2,500,1000,2023,October
98,CUST098,Female,55,Beauty,2,50,100,2023,April
99,CUST099,Female,50,Electronics,4,300,1200,2023,December
100,CUST100,Male,41,Electronics,1,30,30,2023,June
101,CUST101,Male,32,Clothing,2,300,600,2023,January
102,CUST102,Female,47,Beauty,2,25,50,2023,April
103,CUST103,Female,59,Clothing,1,25,25,2023,January
104,CUST104,Female,34,Beauty,2,500,1000,2023,June
105,CUST105,Female,22,Electronics,1,500,500,2023,July
106,CUST106,Female,46,Clothing,1,50,50,2023,May
107,CUST107,Female,21,Clothing,4,300,1200,2023,February
108,CUST108,Female,27,Beauty,3,25,75,2023,April
109,CUST109,Female,34,Electronics,4,500,2000,2023,October
110,CUST110,Male,27,Clothing,3,300,900,2023,June
111,CUST111,Female,34,Electronics,3,500,1500,2023,April
112,CUST112,Male,37,Clothing,3,500,1500,2023,December
113,CUST113,Female,41,Electronics,2,25,50,2023,September
114,CUST114,Female,22,Beauty,4,25,100,2023,July
115,CUST115,Male,51,Clothing,3,500,1500,2023,November
116,CUST116,Female,23,Clothing,1,30,30,2023,August
117,CUST117,Male,19,Electronics,2,500,1000,2023,March
118,CUST118,Female,30,Electronics,4,500,2000,2023,May
119,CUST119,Female,60,Clothing,3,50,150,2023,March
120,CUST120,Male,60,Beauty,1,50,50,2023,May
121,CUST121,Female,28,Electronics,4,50,200,2023,October
122,CUST122,Male,64,Electronics,4,30,120,2023,October
123,CUST123,Female,40,Electronics,2,30,60,2023,May
124,CUST124,Male,33,Clothing,4,500,2000,2023,October
125,CUST125,Male,48,Clothing,2,50,100,2023,August
126,CUST126,Female,28,Clothing,3,30,90,2023,October
127,CUST127,Female,33,Clothing,2,25,50,2023,July
128,CUST128,Male,25,Beauty,1,500,500,2023,July
129,CUST129,Female,21,Beauty,2,300,600,2023,April
130,CUST130,Female,57,Clothing,1,500,500,2023,March
131,CUST131,Female,21,Beauty,2,300,600,2023,September
132,CUST132,Male,42,Electronics,4,50,200,2023,September
133,CUST133,Male,20,Electronics,3,300,900,2023,February
134,CUST134,Male,49,Electronics,1,50,50,2023,January
135,CUST135,Male,20,Clothing,2,25,50,2023,February
136,CUST136,Male,44,Electronics,2,300,600,2023,March
137,CUST137,Male,46,Beauty,2,500,1000,2023,November
138,CUST138,Male,49,Clothing,4,50,200,2023,March
139,CUST139,Male,36,Beauty,4,500,2000,2023,December
140,CUST140,Male,38,Electronics,1,30,30,2023,August
141,CUST141,Female,22,Electronics,1,50,50,2023,November
142,CUST142,Male,35,Electronics,4,300,1200,2023,February
143,CUST143,Female,45,Clothing,1,50,50,2023,July
144,CUST144,Female,59,Beauty,3,500,1500,2023,July
145,CUST145,Female,39,Clothing,3,25,75,2023,November
146,CUST146,Male,38,Clothing,4,50,200,2023,August
147,CUST147,Male,23,Electronics,1,300,300,2023,September
148,CUST148,Male,18,Clothing,2,30,60,2023,May
149,CUST149,Male,22,Clothing,3,25,75,2023,October
150,CUST150,Female,58,Electronics,4,30,120,2023,January
151,CUST151,Male,29,Clothing,1,50,50,2023,December
152,CUST152,Male,43,Electronics,4,500,2000,2023,February
153,CUST153,Male,63,Electronics,2,500,1000,2023,December
154,CUST154,Male,51,Electronics,3,300,900,2023,October
155,CUST155,Male,31,Electronics,4,500,2000,2023,May
156,CUST156,Female,43,Clothing,4,25,100,2023,November
157,CUST157,Male,62,Electronics,4,500,2000,2023,June
158,CUST158,Female,44,Electronics,2,300,600,2023,February
159,CUST159,Male,26,Clothing,4,50,200,2023,May
160,CUST160,Female,43,Clothing,2,50,100,2023,August
161,CUST161,Male,64,Beauty,2,500,1000,2023,March
162,CUST162,Male,39,Clothing,2,30,60,2023,August
163,CUST163,Female,64,Clothing,3,50,150,2023,January
164,CUST164,Female,47,Beauty,3,500,1500,2023,May
165,CUST165,Female,60,Clothing,4,300,1200,2023,September
166,CUST166,Male,34,Clothing,4,500,2000,2023,April
167,CUST167,Female,43,Clothing,3,50,150,2023,September
168,CUST168,Male,53,Clothing,1,300,300,2023,February
169,CUST169,Male,18,Beauty,3,500,1500,2023,November
170,CUST170,Female,25,Clothing,2,25,50,2023,June
171,CUST171,Female,52,Clothing,3,300,900,2023,November
172,CUST172,Male,32,Beauty,2,25,50,2023,September
173,CUST173,Male,64,Electronics,4,30,120,2023,November
174,CUST174,Female,39,Beauty,1,300,300,2023,April
175,CUST175,Female,31,Electronics,4,25,100,2023,March
176,CUST176,Female,43,Beauty,2,50,100,2023,July
177,CUST177,Male,45,Beauty,2,50,100,2023,March
178,CUST178,Male,40,Clothing,2,30,60,2023,October
179,CUST179,Male,31,Electronics,1,300,300,2023,September
180,CUST180,Male,41,Clothing,3,300,900,2023,January
181,CUST181,Male,19,Electronics,4,300,1200,2023,November
182,CUST182,Male,62,Beauty,4,30,120,2023,June
183,CUST183,Female,43,Beauty,3,300,900,2023,September
184,CUST184,Male,31,Electronics,4,50,200,2023,January
185,CUST185,Male,24,Clothing,1,25,25,2023,February
186,CUST186,Male,20,Clothing,4,50,200,2023,July
187,CUST187,Female,64,Clothing,2,50,100,2023,June
188,CUST188,Male,40,Clothing,3,25,75,2023,May
189,CUST189,Male,63,Beauty,1,50,50,2023,January
190,CUST190,Female,60,Beauty,3,30,90,2023,May
191,CUST191,Male,64,Beauty,1,25,25,2023,October
192,CUST192,Male,62,Beauty,2,50,100,2023,February
193,CUST193,Male,35,Beauty,3,500,1500,2023,February
194,CUST194,Male,55,Clothing,4,50,200,2023,September
195,CUST195,Male,52,Clothing,1,30,30,2023,February
196,CUST196,Female,32,Clothing,3,300,900,2023,September
197,CUST197,Female,42,Clothing,4,50,200,2023,March
198,CUST198,Female,54,Beauty,3,300,900,2023,March
199,CUST199,Male,45,Beauty,3,500,1500,2023,December
200,CUST200,Male,27,Beauty,3,50,150,2023,September
201,CUST201,Male,56,Electronics,1,25,25,2023,October
202,CUST202,Female,34,Clothing,4,300,1200,2023,March
203,CUST203,Male,56,Clothing,2,500,1000,2023,May
204,CUST204,Male,39,Beauty,1,25,25,2023,September
205,CUST205,Female,43,Clothing,1,25,25,2023,November
206,CUST206,Male,61,Clothing,1,25,25,2023,August
207,CUST207,Female,42,Beauty,2,25,50,2023,April
208,CUST208,Female,34,Electronics,4,50,200,2023,October
209,CUST209,Female,30,Electronics,4,50,200,2023,December
210,CUST210,Male,37,Electronics,4,50,200,2023,April
211,CUST211,Male,42,Beauty,3,500,1500,2024,January
212,CUST212,Male,21,Clothing,3,500,1500,2023,June
213,CUST213,Male,27,Beauty,3,500,1500,2023,July
214,CUST214,Male,20,Beauty,2,30,60,2023,December
215,CUST215,Male,58,Clothing,3,500,1500,2023,November
216,CUST216,Male,62,Electronics,2,50,100,2023,July
217,CUST217,Female,35,Electronics,4,50,200,2023,August
218,CUST218,Male,64,Beauty,3,30,90,2023,September
219,CUST219,Female,53,Electronics,3,30,90,2023,August
220,CUST220,Male,64,Beauty,1,500,500,2023,March
221,CUST221,Male,39,Beauty,2,300,600,2023,May
222,CUST222,Male,51,Clothing,4,30,120,2023,April
223,CUST223,Female,64,Clothing,1,25,25,2023,February
224,CUST224,Female,25,Clothing,1,50,50,2023,June
225,CUST225,Female,57,Beauty,4,25,100,2023,January
226,CUST226,Female,61,Clothing,1,50,50,2023,October
227,CUST227,Male,36,Electronics,2,50,100,2023,October
228,CUST228,Female,59,Electronics,2,30,60,2023,April
229,CUST229,Male,58,Beauty,3,30,90,2023,October
230,CUST230,Male,54,Beauty,1,25,25,2023,April
231,CUST231,Female,23,Clothing,3,50,150,2023,January
232,CUST232,Female,43,Beauty,1,25,25,2023,February
233,CUST233,Female,51,Beauty,2,300,600,2023,December
234,CUST234,Female,62,Electronics,2,25,50,2023,November
235,CUST235,Female,23,Electronics,2,500,1000,2023,January
236,CUST236,Female,54,Clothing,1,25,25,2023,April
237,CUST237,Female,50,Beauty,2,500,1000,2023,February
238,CUST238,Female,39,Beauty,1,500,500,2023,January
239,CUST239,Male,38,Electronics,3,500,1500,2023,June
240,CUST240,Female,23,Beauty,1,300,300,2023,February
241,CUST241,Female,23,Electronics,3,25,75,2023,September
242,CUST242,Male,21,Clothing,1,25,25,2023,May
243,CUST243,Female,47,Electronics,3,300,900,2023,May
244,CUST244,Male,28,Beauty,2,50,100,2023,December
245,CUST245,Male,47,Clothing,3,30,90,2023,September
246,CUST246,Female,48,Electronics,2,25,50,2023,April
247,CUST247,Male,41,Electronics,2,30,60,2023,October
248,CUST248,Male,26,Clothing,3,300,900,2023,March
249,CUST249,Male,20,Clothing,1,50,50,2023,October
250,CUST250,Male,48,Electronics,1,50,50,2023,October
251,CUST251,Female,57,Beauty,4,50,200,2023,August
252,CUST252,Male,54,Electronics,1,300,300,2023,May
253,CUST253,Female,53,Clothing,4,500,2000,2023,August
254,CUST254,Male,41,Electronics,1,500,500,2023,July
255,CUST255,Male,48,Clothing,1,30,30,2023,April
256,CUST256,Male,23,Clothing,2,500,1000,2023,February
257,CUST257,Male,19,Beauty,4,500,2000,2023,February
258,CUST258,Female,37,Clothing,1,50,50,2023,December
259,CUST259,Female,45,Clothing,4,50,200,2023,August
260,CUST260,Male,28,Beauty,2,30,60,2023,July
261,CUST261,Male,21,Clothing,2,25,50,2023,August
262,CUST262,Female,32,Beauty,4,30,120,2023,July
263,CUST263,Male,23,Beauty,2,30,60,2023,August
264,CUST264,Male,47,Clothing,3,300,900,2023,January
265,CUST265,Male,55,Clothing,3,300,900,2023,December
266,CUST266,Female,19,Electronics,2,30,60,2023,December
267,CUST267,Female,32,Beauty,3,30,90,2023,November
268,CUST268,Female,28,Electronics,1,30,30,2023,February
269,CUST269,Male,25,Clothing,4,500,2000,2023,February
270,CUST270,Male,43,Electronics,1,300,300,2023,July
271,CUST271,Female,62,Beauty,4,30,120,2023,June
272,CUST272,Female,61,Electronics,2,50,100,2023,February
273,CUST273,Female,22,Beauty,1,50,50,2023,May
274,CUST274,Female,23,Clothing,2,500,1000,2023,April
275,CUST275,Male,43,Clothing,2,500,1000,2023,April
276,CUST276,Female,21,Beauty,4,25,100,2023,October
277,CUST277,Male,36,Clothing,4,25,100,2023,August
278,CUST278,Female,37,Clothing,4,25,100,2023,March
279,CUST279,Male,50,Clothing,1,500,500,2023,August
280,CUST280,Female,37,Clothing,3,500,1500,2023,April
281,CUST281,Female,29,Beauty,4,500,2000,2023,May
282,CUST282,Female,64,Electronics,4,50,200,2023,August
283,CUST283,Female,18,Electronics,1,500,500,2023,May
284,CUST284,Male,43,Clothing,4,50,200,2023,February
285,CUST285,Female,31,Electronics,1,25,25,2023,August
286,CUST286,Male,55,Electronics,2,25,50,2023,October
287,CUST287,Male,54,Clothing,4,25,100,2023,February
288,CUST288,Male,28,Clothing,4,30,120,2023,January
289,CUST289,Male,53,Electronics,2,30,60,2023,November
290,CUST290,Female,30,Beauty,2,300,600,2023,October
291,CUST291,Male,60,Clothing,2,300,600,2023,January
292,CUST292,Male,20,Beauty,4,300,1200,2023,February
293,CUST293,Male,50,Electronics,3,30,90,2023,May
294,CUST294,Female,23,Clothing,3,30,90,2023,March
295,CUST295,Female,27,Beauty,3,300,900,2023,July
296,CUST296,Female,22,Clothing,4,300,1200,2023,September
297,CUST297,Female,40,Electronics,2,500,1000,2023,September
298,CUST298,Male,27,Beauty,4,300,1200,2023,April
299,CUST299,Male,61,Electronics,2,500,1000,2023,July
300,CUST300,Female,19,Electronics,4,50,200,2023,January
301,CUST301,Male,30,Clothing,4,30,120,2023,March
302,CUST302,Male,57,Beauty,2,300,600,2023,July
303,CUST303,Male,19,Electronics,3,30,90,2023,January
304,CUST304,Female,37,Electronics,2,30,60,2023,July
305,CUST305,Female,18,Beauty,1,30,30,2023,May
306,CUST306,Male,54,Electronics,1,50,50,2023,August
307,CUST307,Female,26,Electronics,2,25,50,2023,May
308,CUST308,Female,34,Beauty,4,300,1200,2023,August
309,CUST309,Female,26,Beauty,1,25,25,2023,December
310,CUST310,Female,28,Beauty,1,25,25,2023,October
311,CUST311,Female,32,Beauty,4,25,100,2023,December
312,CUST312,Male,41,Clothing,4,30,120,2023,September
313,CUST313,Female,55,Beauty,3,500,1500,2023,March
314,CUST314,Male,52,Clothing,4,30,120,2023,April
315,CUST315,Male,47,Clothing,2,30,60,2023,June
316,CUST316,Female,48,Clothing,2,25,50,2023,April
317,CUST317,Male,22,Electronics,3,30,90,2023,January
318,CUST318,Male,61,Clothing,1,25,25,2023,October
319,CUST319,Male,31,Clothing,1,500,500,2023,October
320,CUST320,Female,28,Electronics,4,300,1200,2023,February
321,CUST321,Female,26,Electronics,2,25,50,2023,June
322,CUST322,Male,51,Electronics,1,500,500,2023,January
323,CUST323,Female,29,Beauty,3,300,900,2023,January
324,CUST324,Female,52,Electronics,3,50,150,2023,October
325,CUST325,Female,52,Electronics,2,25,50,2023,September
326,CUST326,Female,18,Clothing,3,25,75,2023,September
327,CUST327,Male,57,Electronics,3,50,150,2023,September
328,CUST328,Male,39,Beauty,2,50,100,2023,March
329,CUST329,Female,46,Electronics,4,25,100,2023,January
330,CUST330,Female,25,Beauty,4,50,200,2023,September
331,CUST331,Male,28,Electronics,3,30,90,2023,February
332,CUST332,Male,58,Electronics,4,300,1200,2023,April
333,CUST333,Female,54,Electronics,4,300,1200,2023,February
334,CUST334,Male,31,Electronics,3,300,900,2023,November
335,CUST335,Female,47,Beauty,4,30,120,2023,February
336,CUST336,Female,52,Beauty,3,50,150,2023,December
337,CUST337,Male,38,Clothing,1,500,500,2023,May
338,CUST338,Male,54,Beauty,2,50,100,2023,July
339,CUST339,Female,22,Electronics,2,25,50,2023,March
340,CUST340,Female,36,Clothing,4,300,1200,2023,October
341,CUST341,Male,31,Clothing,4,50,200,2023,May
342,CUST342,Female,43,Clothing,4,500,2000,2023,October
343,CUST343,Male,21,Electronics,2,25,50,2023,November
344,CUST344,Female,42,Beauty,1,30,30,2023,January
345,CUST345,Male,62,Electronics,1,30,30,2023,November
346,CUST346,Male,59,Clothing,2,500,1000,2023,February
347,CUST347,Male,42,Electronics,1,25,25,2023,August
348,CUST348,Female,35,Electronics,2,300,600,2023,December
349,CUST349,Female,57,Beauty,1,50,50,2023,October
350,CUST350,Male,25,Beauty,3,25,75,2023,October
351,CUST351,Female,56,Clothing,3,30,90,2023,September
352,CUST352,Male,57,Electronics,2,500,1000,2023,June
353,CUST353,Male,31,Electronics,1,500,500,2023,May
354,CUST354,Female,49,Beauty,4,50,200,2023,April
355,CUST355,Female,55,Electronics,1,500,500,2023,December
356,CUST356,Male,50,Electronics,3,500,1500,2023,June
357,CUST357,Female,40,Electronics,3,25,75,2023,May
358,CUST358,Female,32,Beauty,1,300,300,2023,May
359,CUST359,Male,50,Clothing,1,50,50,2023,July
360,CUST360,Male,42,Clothing,4,25,100,2023,March
361,CUST361,Female,34,Electronics,4,300,1200,2023,December
362,CUST362,Male,50,Clothing,1,25,25,2023,November
363,CUST363,Male,64,Beauty,1,25,25,2023,June
364,CUST364,Female,19,Beauty,1,500,500,2023,August
365,CUST365,Male,31,Clothing,1,300,300,2023,June
366,CUST366,Male,57,Clothing,2,50,100,2023,February
367,CUST367,Female,57,Electronics,1,50,50,2023,January
368,CUST368,Female,56,Clothing,4,300,1200,2023,August
369,CUST369,Male,23,Electronics,3,500,1500,2023,November
370,CUST370,Male,23,Electronics,2,30,60,2023,October
371,CUST371,Female,20,Beauty,1,25,25,2023,February
372,CUST372,Female,24,Beauty,3,500,1500,2023,February
373,CUST373,Female,25,Beauty,2,300,600,2023,October
374,CUST374,Female,59,Beauty,3,25,75,2023,April
375,CUST375,Male,32,Clothing,1,50,50,2023,September
376,CUST376,Female,64,Beauty,1,30,30,2023,May
377,CUST377,Female,46,Clothing,4,50,200,2023,March
378,CUST378,Male,50,Beauty,1,300,300,2023,June
379,CUST379,Female,47,Clothing,1,25,25,2023,February
380,CUST380,Male,56,Electronics,2,300,600,2023,May
381,CUST381,Female,44,Clothing,4,25,100,2023,July
382,CUST382,Female,53,Clothing,2,500,1000,2023,May
383,CUST383,Female,46,Beauty,3,30,90,2023,March
384,CUST384,Male,55,Clothing,1,500,500,2023,August
385,CUST385,Male,50,Electronics,3,500,1500,2023,October
386,CUST386,Female,54,Electronics,2,300,600,2023,December
387,CUST387,Male,44,Beauty,1,30,30,2023,June
388,CUST388,Male,50,Electronics,1,25,25,2023,November
389,CUST389,Male,21,Clothing,2,25,50,2023,December
390,CUST390,Male,39,Electronics,2,50,100,2023,September
391,CUST391,Male,19,Beauty,2,25,50,2023,January
392,CUST392,Male,27,Clothing,2,300,600,2023,December
393,CUST393,Female,22,Beauty,2,500,1000,2023,October
394,CUST394,Female,27,Clothing,1,500,500,2023,June
395,CUST395,Male,50,Electronics,2,500,1000,2023,December
396,CUST396,Female,55,Beauty,1,30,30,2023,February
397,CUST397,Female,30,Beauty,1,25,25,2023,March
398,CUST398,Female,48,Clothing,2,300,600,2023,May
399,CUST399,Female,64,Beauty,2,30,60,2023,March
400,CUST400,Male,53,Clothing,4,50,200,2023,February
401,CUST401,Female,62,Clothing,1,300,300,2023,October
402,CUST402,Female,41,Clothing,2,300,600,2023,March
403,CUST403,Male,32,Clothing,2,300,600,2023,May
404,CUST404,Male,46,Electronics,2,500,1000,2023,May
405,CUST405,Female,25,Clothing,4,300,1200,2023,November
406,CUST406,Female,22,Beauty,4,25,100,2023,April
407,CUST407,Female,46,Electronics,3,300,900,2023,June
408,CUST408,Female,64,Beauty,1,500,500,2023,April
409,CUST409,Female,21,Electronics,3,300,900,2023,December
410,CUST410,Female,29,Clothing,2,50,100,2023,November
411,CUST411,Male,62,Electronics,4,50,200,2023,May
412,CUST412,Female,19,Electronics,4,500,2000,2023,September
413,CUST413,Female,44,Beauty,3,25,75,2023,September
414,CUST414,Male,48,Beauty,4,25,100,2023,May
415,CUST415,Male,53,Clothing,2,30,60,2023,January
416,CUST416,Male,53,Electronics,4,500,2000,2023,February
417,CUST417,Male,43,Electronics,3,300,900,2023,November
418,CUST418,Female,60,Electronics,2,500,1000,2023,August
419,CUST419,Female,44,Clothing,3,30,90,2023,May
420,CUST420,Female,22,Clothing,4,500,2000,2023,January
421,CUST421,Female,37,Clothing,3,500,1500,2023,January
422,CUST422,Female,28,Clothing,3,30,90,2023,June
423,CUST423,Female,27,Clothing,1,25,25,2023,March
424,CUST424,Male,57,Beauty,4,300,1200,2023,November
425,CUST425,Female,55,Electronics,4,30,120,2023,May
426,CUST426,Male,23,Electronics,3,50,150,2023,March
427,CUST427,Male,25,Electronics,1,25,25,2023,August
428,CUST428,Female,40,Electronics,4,50,200,2023,October
429,CUST429,Male,64,Electronics,2,25,50,2023,December
430,CUST430,Female,43,Electronics,3,300,900,2023,August
431,CUST431,Male,63,Electronics,4,300,1200,2023,October
432,CUST432,Female,60,Electronics,2,500,1000,2023,January
433,CUST433,Male,29,Beauty,4,50,200,2023,February
434,CUST434,Female,43,Electronics,2,25,50,2023,February
435,CUST435,Female,30,Beauty,3,300,900,2023,December
436,CUST436,Female,57,Clothing,4,30,120,2023,March
437,CUST437,Female,35,Electronics,4,300,1200,2023,October
438,CUST438,Female,42,Clothing,1,30,30,2023,January
439,CUST439,Male,50,Clothing,3,25,75,2023,July
440,CUST440,Male,64,Clothing,2,300,600,2023,October
441,CUST441,Male,57,Beauty,4,300,1200,2023,October
442,CUST442,Female,60,Clothing,4,25,100,2023,March
443,CUST443,Male,29,Clothing,2,300,600,2023,August
444,CUST444,Female,61,Clothing,3,30,90,2023,March
445,CUST445,Female,53,Electronics,1,300,300,2023,January
446,CUST446,Male,21,Electronics,1,50,50,2023,June
447,CUST447,Male,22,Beauty,4,500,2000,2023,July
448,CUST448,Female,54,Beauty,2,30,60,2023,January
449,CUST449,Male,25,Electronics,4,50,200,2023,July
450,CUST450,Female,59,Beauty,2,25,50,2023,April
451,CUST451,Female,45,Electronics,1,30,30,2023,December
452,CUST452,Female,48,Clothing,3,500,1500,2023,May
453,CUST453,Female,26,Clothing,2,500,1000,2023,December
454,CUST454,Female,46,Beauty,1,25,25,2023,February
455,CUST455,Male,31,Electronics,4,25,100,2023,July
456,CUST456,Male,57,Electronics,2,30,60,2023,October
457,CUST457,Female,58,Beauty,3,300,900,2023,July
458,CUST458,Female,39,Electronics,4,25,100,2023,November
459,CUST459,Male,28,Clothing,4,300,1200,2023,March
460,CUST460,Male,40,Beauty,1,50,50,2023,May
461,CUST461,Female,18,Beauty,2,500,1000,2023,March
462,CUST462,Male,63,Electronics,4,300,1200,2023,April
463,CUST463,Female,54,Beauty,3,500,1500,2023,July
464,CUST464,Male,38,Electronics,2,300,600,2023,January
465,CUST465,Female,43,Electronics,3,50,150,2023,April
466,CUST466,Male,63,Electronics,4,25,100,2023,June
467,CUST467,Female,53,Electronics,3,50,150,2023,July
468,CUST468,Male,40,Electronics,1,25,25,2023,December
469,CUST469,Male,18,Beauty,3,25,75,2023,May
470,CUST470,Female,57,Clothing,2,500,1000,2023,May
471,CUST471,Male,32,Clothing,3,50,150,2023,March
472,CUST472,Female,38,Beauty,3,300,900,2023,December
473,CUST473,Male,64,Beauty,1,50,50,2023,February
474,CUST474,Female,26,Clothing,3,500,1500,2023,July
475,CUST475,Male,26,Clothing,3,25,75,2023,January
476,CUST476,Female,27,Clothing,4,500,2000,2023,August
477,CUST477,Male,43,Clothing,4,30,120,2023,April
478,CUST478,Female,58,Clothing,2,30,60,2023,April
479,CUST479,Male,52,Electronics,4,300,1200,2023,August
480,CUST480,Female,42,Beauty,4,500,2000,2023,June
481,CUST481,Female,43,Electronics,4,300,1200,2023,June
482,CUST482,Female,28,Clothing,4,300,1200,2023,April
483,CUST483,Male,55,Clothing,1,30,30,2023,April
484,CUST484,Female,19,Clothing,4,300,1200,2023,January
485,CUST485,Male,24,Electronics,1,30,30,2023,December
486,CUST486,Female,35,Electronics,1,25,25,2023,April
487,CUST487,Male,44,Clothing,4,500,2000,2023,July
488,CUST488,Female,51,Electronics,3,300,900,2023,June
489,CUST489,Male,44,Electronics,1,30,30,2023,May
490,CUST490,Male,34,Clothing,3,50,150,2023,February
491,CUST491,Female,60,Electronics,3,300,900,2023,May
492,CUST492,Male,61,Beauty,4,25,100,2023,June
